,UANUM,UANAME,Population,Latitude,Longitude,4 Week Rate,4 Week TRP,CPP,CPM,AdvertisingCost,PredictedCount,ActualCount,PredictedActualDiff,PercentDiff,Households,HouseholdsPerStation
579,15913,"Chelan, WA",5704,47.841111100000006,-120.0152778,2668.75,825.0,3.0,3.375,19.250999999999998,2.82,4,-1.18,-0.23600000000000002,2169,769.1489361702128
580,15940,"Chelsea, MI",5329,42.3180556,-84.0205556,4500.0,200.0,23.0,7.0,37.303,1.72,2,-0.28,-0.093333333,2416,1404.6511627906978
593,16237,"Cheyenne, WY",73588,41.14,-104.8197222,800.0,400.0,2.0,6.0,441.52799999999996,3.48,4,-0.52,-0.10400000000000001,29841,8575.0
594,16264,"Chicago, IL--IN",8608208,41.85,-87.65,140155.083333333,156.25,233.6666666667,3.1816666667,27388.448453620276,269.82,348,-78.18,-0.22401146100000002,3122451,11572.34823215477
596,16318,"Chico, CA",98176,39.7286111,-121.8363889,6363.0,400.0,16.0,4.0,392.704,7.1,7,0.1,0.0125,38470,5418.30985915493
604,16615,"Chisholm, MN",4622,47.4891667,-92.8836111,7824.285714285699,600.0,13.4285714286,5.5,25.421,0.42,1,-0.58,-0.29,2104,5009.52380952381
606,16696,"Chowchilla, CA",11843,37.1230556,-120.2591667,8432.0,800.0,10.833333333299999,8.0,94.744,0.58,1,-0.42,-0.21,4235,7301.724137931035
607,16777,"Christopher, IL",3610,37.9725,-89.05333329999998,3060.0,400.0,8.5714285714,5.2857142857,19.081428571377,0.0,1,-1.0,-0.5,1621,inf
610,16885,"Cincinnati, OH--KY--IN",1624827,39.1619444,-84.4569444,34800.0,500.0,72.0,3.75,6093.10125,54.0,32,22.0,0.666666667,634071,11742.055555555555
613,17047,"Clanton, AL",5785,32.8386111,-86.6294444,7073.333333333299,800.0,9.3333333333,10.0,57.85,2.12,3,-0.88,-0.22,2471,1165.566037735849
620,17236,"Clarksburg, WV",43988,39.28055560000001,-80.3447222,2548.0,400.0,6.666666666699999,7.1111111111000005,312.8035555550668,1.66,2,-0.34,-0.11333333300000001,17648,10631.325301204819
623,17317,"Clarksville, TN--KY",158655,36.5297222,-87.3594444,10055.3571428571,685.7142857143,16.428571428599998,6.0714285714,963.262499995467,4.18,5,-0.82,-0.136666667,56060,13411.483253588518
627,17420,"Clayton, GA",3372,34.8780556,-83.4011111,3625.0,500.0,8.25,4.5,15.174,0.16,5,-4.84,-0.806666667,1286,8037.5
628,17560,"Cle Elum, WA",3539,47.19555560000001,-120.93805559999998,2668.75,825.0,3.0,3.375,11.944125,0.64,1,-0.36,-0.18,1785,2789.0625
637,17668,"Cleveland, OH",1780673,41.4994444,-81.69555559999998,110788.5625,156.25,182.25,6.158125,10965.606918125,57.7,23,34.7,1.4458333330000002,733600,12714.038128249565
639,17722,"Cleveland, TN",66777,35.1594444,-84.8766667,1893.3333333332998,400.0,5.0,4.3333333333,289.3669999977741,1.82,1,0.82,0.41,25154,13820.87912087912
643,17870,"Clifton Springs, NY",6444,41.0161111,-72.1597222,3830.0,466.6666666667,8.3333333333,4.0,25.776,0.72,1,-0.28,-0.14,2466,3425.0
650,17992,"Clinton, NC",9538,34.9977778,-78.3236111,3602.5,750.0,5.0,4.125,39.34425,0.4,2,-1.6,-0.533333333,3794,9485.0
653,18100,"Clintonville, WI",4481,44.6205556,-88.76222220000002,1305.0,360.0,4.0,6.8,30.470799999999997,0.72,1,-0.28,-0.14,1849,2568.0555555555557
654,18127,"Cloquet, MN",12936,46.7216667,-92.4591667,7824.285714285699,600.0,13.4285714286,5.5,71.148,1.38,2,-0.62,-0.206666667,5468,3962.3188405797105
655,18154,"Clover, SC",6513,35.1111111,-81.2266667,1053.8461538462,476.9230769231,2.5384615385,4.6153846154,30.0600000001002,0.74,1,-0.26,-0.13,2393,3233.7837837837837
662,18343,"Cobleskill, NY",5618,42.6777778,-74.4858333,21228.888888888898,555.5555555556,41.8888888889,5.4444444444,30.5868888886392,0.72,1,-0.28,-0.14,2022,2808.3333333333335
674,18667,"Coldwater, MI",16876,41.9402778,-85.0005556,1466.6666666667002,400.0,4.0,6.666666666699999,112.5066666672292,0.66,1,-0.34,-0.17,5182,7851.515151515151
677,18712,"Colfax, CA",3144,39.1008333,-120.9522222,72659.7083333333,156.25,119.5,3.6733333333,11.548959999895201,1.5,2,-0.5,-0.166666667,1337,891.3333333333334
679,18748,"College Station--Bryan, TX",171345,30.6741667,-96.3697222,5600.0,342.8571428571,18.571428571400002,7.5714285714,1297.326428566533,8.16,8,0.16,0.017777778,61616,7550.980392156863
684,18856,"Colorado Springs, CO",559409,38.8338889,-104.8208333,13625.0,528.5714285714,25.785714285700003,4.7857142857,2677.1716428491513,22.5,15,7.5,0.46875,216129,9605.733333333334
688,18937,"Columbia, MO",124748,38.9516667,-92.3338889,7360.0,720.0,11.0,7.9,985.5092000000001,5.18,3,2.18,0.545,50071,9666.216216216217
690,18964,"Columbia, SC",549777,34.00055560000001,-81.035,20191.0714285714,885.7142857142999,23.5,3.6428571429,2002.7590714521334,24.98,30,-5.02,-0.161935484,211092,8450.440352281825
691,18991,"Columbia, TN",34965,35.615,-87.03527779999997,2712.5,700.0,4.5,14.75,515.7337500000001,1.62,4,-2.38,-0.47600000000000003,14322,8840.74074074074
695,19099,"Columbus, GA--AL",253602,32.4608333,-84.98777779999998,4773.0,200.0,24.0,5.0,1268.01,7.08,8,-0.92,-0.10222222199999999,94500,13347.457627118643
696,19126,"Columbus, IN",54933,39.2013889,-85.92138890000003,2783.3333333333007,266.6666666667,11.333333333299999,11.333333333299999,622.5739999981688,7.88,2,5.88,1.96,21665,2749.3654822335025
698,19180,"Columbus, MS",31174,33.4955556,-88.4272222,5096.5,1000.0,5.625,9.375,292.25625,1.56,2,-0.44,-0.146666667,12395,7945.51282051282
700,19234,"Columbus, OH",1368035,39.9611111,-82.99888890000003,42830.25,156.25,70.1875,3.75125,5131.841293750001,58.26,35,23.26,0.646111111,542626,9313.868863714384
707,19450,"Commerce, GA",6624,34.203888899999995,-83.4572222,1000.0,200.0,5.0,4.0,26.496,0.04,1,-0.96,-0.48,2406,60150.0
709,19504,"Concord, CA",615968,37.97805560000001,-122.03,114990.576923077,149.0384615385,193.88461538459998,3.4334615385,2114.902436946768,43.52,97,-53.48,-0.545714286,233083,5355.767463235294
710,19558,"Concord, NC",214881,35.4086111,-80.5797222,35100.0,766.6666666666998,54.3333333333,3.8333333333,823.7104999928373,10.26,13,-2.74,-0.19571428600000002,79060,7705.653021442496
711,19531,"Concord, NH",42611,43.2080556,-71.53805559999998,2300.0,200.0,12.0,4.0,170.444,4.04,6,-1.96,-0.28,17496,4330.693069306931
718,19755,"Conroe--The Woodlands, TX",239938,30.1577778,-95.4891667,69809.7222222222,145.8333333333,125.9444444444,2.5772222222,618.3735455502236,13.88,14,-0.12,-0.008,87283,6288.400576368876
720,19801,"Conway, AR",65277,35.0886111,-92.4419444,13892.0,740.0,20.7,3.5,228.4695,2.02,2,0.02,0.006666666999999999,25037,12394.554455445545
721,19828,"Cookeville, TN",44207,36.1627778,-85.5016667,2917.8571428571995,785.7142857142999,4.4285714286,4.0,176.828,3.46,4,-0.54,-0.10800000000000001,17594,5084.971098265896
724,19936,"Coos Bay, OR",31386,43.3666667,-124.21666670000002,600.0,200.0,3.0,4.0,125.544,3.08,4,-0.92,-0.184,12534,4069.4805194805194
730,20152,"Cornelia--Baldwin, GA",18578,34.4916667,-83.5375,3625.0,500.0,8.25,4.5,83.601,0.44,3,-2.56,-0.64,5525,12556.818181818182
735,20287,"Corpus Christi, TX",320069,27.8002778,-97.39611109999998,10655.5384615385,846.1538461538,13.3846153846,3.8461538462,1231.0346153993878,4.92,4,0.92,0.184,117143,23809.552845528455
740,20422,"Corvallis, OR",62433,44.5647222,-123.2608333,600.0,200.0,3.0,4.0,249.732,15.54,21,-5.46,-0.248181818,24296,1563.4491634491635
743,20503,"Cottage Grove, OR",11007,43.7977778,-123.0583333,600.0,200.0,3.0,4.0,44.028,1.36,2,-0.64,-0.213333333,4542,3339.705882352941
771,21220,"Crooked Lake Park, FL",4335,26.8,-80.0666667,85259.25,156.25,140.375,8.7425,37.898737499999996,0.62,1,-0.38,-0.19,1502,2422.5806451612902
777,21394,"Crossville, TN",16337,35.9488889,-85.0269444,1860.0,840.0,2.6,3.6,58.8132,0.36,2,-1.64,-0.546666667,6691,18586.111111111113
779,21448,"Crozet, VA",5527,38.0694444,-78.7008333,1250.0,200.0,6.0,13.0,71.851,2.52,4,-1.48,-0.29600000000000004,2106,835.7142857142857
781,21529,"Crystal River, FL",4388,28.9022222,-82.5927778,3300.0,400.0,8.8333333333,6.5,28.522,1.42,2,-0.58,-0.193333333,2088,1470.4225352112676
795,21928,"Dahlgren, VA--MD",3515,38.3311111,-77.0513889,342597.875,156.25,556.5652173912999,11.014166666700001,38.71479583345051,1.48,2,-0.52,-0.173333333,1231,831.7567567567568
796,21934,"Dahlonega, GA",4812,34.5325,-83.985,3625.0,500.0,8.25,4.5,21.654,0.68,1,-0.32,-0.16,1332,1958.8235294117646
799,22042,"Dallas--Fort Worth--Arlington, TX",5121892,32.735555600000005,-97.1077778,50775.0,400.0,155.5,3.0,15365.676,223.62,238,-14.38,-0.060167364,1870678,8365.432430015204
801,22069,"Dalton, GA",85239,34.769722200000004,-84.97027779999998,3184.6153846153998,723.0769230769,5.3076923077,3.5384615385000004,301.61492308020155,1.32,1,0.32,0.16,28540,21621.21212121212
803,22096,"Danbury, CT--NY",168136,41.3947222,-73.4544444,11742.5,200.0,59.0,8.25,1387.122,13.3,14,-0.7,-0.046666667,61144,4597.293233082706
806,22204,"Danville, IL",50996,40.1244444,-87.63,1255.5555555556,511.1111111111,3.0,3.4444444444,175.6528888866224,1.22,1,0.22,0.11,19740,16180.327868852459
807,22231,"Danville, KY",18887,37.6455556,-84.7722222,2025.0,300.0,7.0,11.0,207.757,0.54,2,-1.46,-0.48666666700000005,7401,13705.555555555555
808,22253,"Danville, VA--NC",49344,36.5858333,-79.39527779999997,2500.0,200.0,13.0,10.0,493.44,2.64,3,-0.36,-0.09,21187,8025.378787878787
809,22285,"Daphne--Fairhope, AL",57383,30.5227778,-87.9033333,7688.333333333299,911.1111111111001,9.0,5.5555555556,318.7944444469948,5.96,2,3.96,1.32,23876,4006.040268456376
812,22366,"Davenport, IA--IL",280051,41.5236111,-90.5775,37201.0,800.0,50.375,8.125,2275.414375,7.16,8,-0.84,-0.093333333,114751,16026.675977653631
815,22420,"Davis, CA",72794,38.545,-121.7394444,72659.7083333333,156.25,119.5,3.6733333333,267.3966266642402,20.48,30,-9.52,-0.30709677399999996,25315,1236.083984375
819,22528,"Dayton, OH",724091,39.7588889,-84.1916667,44208.3333333333,1111.1111111111,42.222222222199996,4.3333333333,3137.72766664253,20.8,20,0.8,0.038095238,297023,14279.951923076922
828,23986,"De Witt, IA",4639,41.8233333,-90.5380556,37201.0,800.0,50.375,8.125,37.691875,0.78,1,-0.22,-0.11,2007,2573.076923076923
829,22690,"Decatur, AL",70436,34.6058333,-86.9833333,5936.3636363636,818.1818181817999,7.454545454500001,5.454545454500001,384.1963636331621,2.1,2,0.1,0.033333333,27490,13090.47619047619
830,22717,"Decatur, IL",93863,39.8402778,-88.9547222,4195.4545454546005,636.3636363636,8.0,7.0,657.0409999999999,2.24,2,0.24,0.08,38521,17196.875
838,22960,"DeKalb, IL",68545,41.9294444,-88.75027779999998,8437.5,575.0,17.125,6.125,419.838125,1.92,1,0.92,0.46,24754,12892.708333333334
839,23203,"Del Rio, TX",43914,29.3625,-100.8963889,3558.3333333333007,766.6666666666998,5.5,5.0,219.57,1.64,2,-0.36,-0.12,13499,8231.09756097561
842,23041,"Delavan, WI",12158,42.63305560000001,-88.64361109999999,2692.0,320.0,8.4,8.4,102.1272,1.52,2,-0.48,-0.16,4604,3028.9473684210525
851,23311,"Deltona, FL",182169,28.9002778,-81.26388890000001,92097.1875,156.25,152.6875,4.960625,903.6720956250001,6.5,6,0.5,0.071428571,65499,10076.76923076923
857,23500,"Denton--Lewisville, TX",366174,33.046111100000005,-96.9938889,50775.0,400.0,155.5,3.0,1098.522,22.08,32,-9.92,-0.30060606100000004,132377,5995.335144927537
860,23527,"Denver--Aurora, CO",2374203,39.7294444,-104.8313889,4550.0,200.0,23.0,8.5,20180.7255,197.76,131,66.76,0.505757576,945127,4779.161610032363
864,23743,"Des Moines, IA",450070,41.60055560000001,-93.6088889,36386.5625,156.25,59.5625,6.965,3134.73755,13.96,14,-0.04,-0.002666667,181323,12988.753581661891
867,23824,"Detroit, MI",3734090,42.33138889999999,-83.0458333,77750.0,650.0,126.0,3.25,12135.7925,141.98,124,17.98,0.14384,1440714,10147.302436962953
875,24121,"Dickson, TN",16016,36.0769444,-87.3877778,10055.3571428571,685.7142857143,16.428571428599998,6.0714285714,97.23999999954239,1.88,3,-1.12,-0.28,6354,3379.7872340425533
880,24256,"Discovery Bay, CA",14044,37.9086111,-121.5991667,10606.25,500.0,23.5,5.0,70.22,3.04,4,-0.96,-0.192,4917,1617.4342105263158
881,24283,"Dixon, CA",18445,38.44555560000001,-121.8222222,72659.7083333333,156.25,119.5,3.6733333333,67.7546333327185,1.56,2,-0.44,-0.146666667,5973,3828.846153846154
882,24310,"Dixon, IL",16858,41.83888889999999,-89.4794444,8437.5,575.0,17.125,6.125,103.25525,1.36,2,-0.64,-0.213333333,6148,4520.588235294117
890,24472,"Dothan, AL",68781,31.22305560000001,-85.3905556,17884.0,500.0,36.125,17.0,1169.277,2.22,2,0.22,0.073333333,26708,12030.630630630629
895,24607,"Dover--Rochester, NH--ME",88087,43.188516,-70.886492,2300.0,200.0,12.0,4.0,352.348,4.46,3,1.46,0.365,33507,7512.780269058296
896,24580,"Dover, DE",110769,39.1580556,-75.52472220000001,7344.0,320.0,22.8,5.4,598.1526000000001,4.22,4,0.22,0.044000000000000004,38210,9054.502369668247
898,24646,"Downs, IL",2666,40.3969444,-88.8705556,5566.666666666701,466.6666666667,12.666666666700001,7.333333333300001,19.5506666665778,0.92,1,-0.08,-0.04,786,854.3478260869565
901,24715,"Dublin, GA",20999,32.5402778,-82.90388890000001,1125.0,300.0,4.0,7.0,146.993,2.0,3,-1.0,-0.25,7624,3812.0
904,24823,"Dubuque, IA--IL",67818,42.50055560000001,-90.6644444,4579.4117647059,800.0,6.2352941176,6.7647058824,458.7688235326032,5.04,6,-0.96,-0.13714285699999998,27775,5510.912698412699
905,24850,"Duluth, MN--WI",120378,46.7833333,-92.1063889,7824.285714285699,600.0,13.4285714286,5.5,662.079,6.3,7,-0.7,-0.0875,49839,7910.952380952381
910,25012,"Dunkirk--Fredonia, NY",25514,42.44,-79.3319444,4775.0,800.0,6.0,17.3333333333,442.2426666658162,2.56,3,-0.44,-0.11,10247,4002.734375
915,25147,"Durango, CO",17982,37.2752778,-107.8794444,2750.0,775.0,3.625,3.375,60.68925,3.2,3,0.2,0.05,7604,2376.25
918,25228,"Durham, NC",347602,35.99388889999999,-78.8988889,17940.0,400.0,45.6666666667,10.3333333333,3591.8873333217466,32.74,35,-2.26,-0.06277777799999999,141384,4318.3872938301765
919,25255,"Dwight, IL",5353,41.09444439999999,-88.425,5566.666666666701,466.6666666667,12.666666666700001,7.333333333300001,39.2553333331549,0.72,1,-0.28,-0.14,1584,2200.0
921,25309,"Dyersburg, TN",21903,36.0344444,-89.3855556,1455.7142857142999,771.4285714286,2.2857142857,5.4285714286,118.90200000062579,1.84,2,-0.16,-0.053333333,8940,4858.695652173913
928,25390,"Eagle, CO",6073,39.6552778,-106.82805559999998,800.0,400.0,2.0,6.0,36.438,0.76,1,-0.24,-0.12,1807,2377.6315789473683
936,25849,"East Stroudsburg, PA--NJ",54316,40.9866667,-75.195,51600.0,766.6666666666998,62.8333333333,4.8333333333,262.5273333315228,1.6,1,0.6,0.3,18879,11799.375
947,26038,"Eau Claire, WI",102852,44.8113889,-91.4983333,18778.4615384615,553.8461538462001,34.3076923077,7.5384615385,775.345846157802,5.04,4,1.04,0.20800000000000002,42304,8393.650793650793
956,26275,"Edwards, CO",17326,39.645,-106.5936111,800.0,400.0,2.0,6.0,103.956,3.7,1,2.7,1.35,5836,1577.2972972972973
962,26470,"El Dorado, AR",18944,33.2075,-92.6661111,1828.0,600.0,3.0,8.0,151.552,1.44,2,-0.56,-0.18666666699999998,7453,5175.694444444444
963,26524,"El Dorado, KS",14724,37.8172222,-96.8619444,20320.6875,156.25,33.5,3.68875,54.313155,0.7,1,-0.3,-0.15,5147,7352.857142857143
964,27261,"El Paso de Robles (Paso Robles)--Atascadero, CA",65088,35.4894444,-120.6697222,6351.75,700.0,10.0,7.75,504.43199999999996,4.42,4,0.42,0.084,24316,5501.3574660633485
966,27253,"El Paso, TX--NM",803086,31.758611100000003,-106.4863889,20832.0,1040.0,22.6,3.0,2409.258,19.46,23,-3.54,-0.1475,254446,13075.334018499485
973,26659,"Elgin, TX",10043,30.3494444,-97.37,58266.6666666667,866.6666666666998,78.1666666667,4.8333333333,48.5411666663319,0.3,2,-1.7,-0.566666667,3449,11496.666666666668
974,26686,"Elizabeth City, NC",23905,36.2944444,-76.25138890000002,2793.75,750.0,3.875,6.625,158.37062500000002,1.84,2,-0.16,-0.053333333,8782,4772.826086956522
975,26750,"Elizabethtown--Radcliff, KY",73467,37.8402778,-85.9491667,750.0,200.0,4.0,6.0,440.802,2.16,1,1.16,0.58,27779,12860.648148148148
977,26767,"Elk City, OK",10855,35.4119444,-99.4038889,600.0,200.0,3.0,9.5,103.1225,1.64,2,-0.36,-0.12,4071,2482.317073170732
978,26794,"Elkhart, IN--MI",143592,43.3504,-84.5603,2040.0,720.0,3.0,7.0,1005.1440000000001,2.42,2,0.42,0.14,52401,21653.30578512397
979,26821,"Elkhorn, WI",12484,42.6727778,-88.5444444,2692.0,320.0,8.4,8.4,104.8656,1.28,2,-0.72,-0.24,4723,3689.84375
985,26983,"Ellensburg, WA",20987,46.9966667,-120.54666670000002,6083.333333333299,400.0,14.666666666700001,7.833333333300001,164.3981666659671,2.6,3,-0.4,-0.1,8149,3134.230769230769
986,27010,"Ellenville, NY",6577,41.7169444,-74.39611109999998,300105.0,156.25,494.375,9.6025,63.15564249999999,0.78,1,-0.22,-0.11,2098,2689.74358974359
989,27070,"Ellsworth, ME",2805,44.5433333,-68.42,266514.0,156.25,441.0625,8.63125,24.21065625,0.58,1,-0.42,-0.21,1177,2029.3103448275863
992,27118,"Elmira, NY",67983,42.0897222,-76.8080556,5100.0,600.0,9.0,16.0,1087.728,2.52,2,0.52,0.173333333,27442,10889.682539682539
995,27290,"Elroy, TX",3708,30.120555600000007,-97.635,58266.6666666667,866.6666666666998,78.1666666667,4.8333333333,17.921999999876398,1.32,2,-0.68,-0.226666667,775,587.1212121212121
996,27300,"Elverson, PA",3697,40.1566667,-75.8330556,16605.0,760.0,23.9,7.3,26.9881,0.88,1,-0.12,-0.06,1527,1735.2272727272727
1005,27523,"Emporia, KS",24830,38.4038889,-96.1813889,1126.0,466.6666666667,2.6666666667,6.0,148.98,2.24,3,-0.76,-0.19,9840,4392.857142857142
1008,27592,"Enfield, NC",2672,36.1808333,-77.6669444,5378.25,750.0,7.375,5.625,15.030000000000001,0.8,1,-0.2,-0.1,1048,1310.0
1010,27631,"Enid, OK",47609,36.3955556,-97.8780556,3550.0,400.0,10.5,11.0,523.6990000000001,0.92,1,-0.08,-0.04,18485,20092.391304347824
1012,27685,"Enterprise, AL",36427,31.315,-85.8552778,2700.0,200.0,14.0,21.0,764.967,3.04,3,0.04,0.01,12972,4267.105263157895
1015,27750,"Epping, NH",3490,43.0333333,-71.07472220000002,2300.0,200.0,12.0,4.0,13.96,1.4,2,-0.6,-0.2,1118,798.5714285714287
1016,27766,"Erie, PA",196611,42.1291667,-80.0852778,20383.3333333333,633.3333333333001,34.0,14.5,2850.8595,6.82,4,2.82,0.564,78632,11529.618768328446
1023,27928,"Estes Park, CO",7082,40.3772222,-105.5211111,800.0,400.0,2.0,6.0,42.492,1.14,1,0.14,0.07,3490,3061.40350877193
1028,28090,"Eufaula, AL--GA",9520,31.891111100000003,-85.1455556,4773.0,200.0,24.0,5.0,47.599999999999994,0.16,1,-0.84,-0.42,3604,22525.0
1029,28117,"Eugene, OR",247421,44.0522222,-123.0855556,600.0,200.0,3.0,4.0,989.684,25.24,29,-3.76,-0.12533333300000002,102491,4060.6576862123616
1032,28198,"Eureka, CA",45034,40.8022222,-124.1625,3151.0,300.0,10.5,4.0,180.136,7.62,9,-1.38,-0.138,18757,2461.5485564304463
1037,28333,"Evansville, IN--KY",229351,37.669,-84.6514,2025.0,300.0,7.0,11.0,2522.861,6.76,6,0.76,0.108571429,93510,13832.84023668639
1042,28441,"Evergreen, CO",13556,39.6333333,-105.3166667,800.0,400.0,2.0,6.0,81.336,10.4,11,-0.6,-0.05,5599,538.3653846153846
1044,28495,"Excelsior Springs, MO",10943,39.3391667,-94.2258333,79200.0,1033.3333333333,85.0,5.1666666667,56.5388333336981,0.8,1,-0.2,-0.1,4122,5152.5
1046,28819,"Fair Haven, VT",4181,43.5947222,-73.26611109999997,3450.0,300.0,12.5,10.5,43.9005,0.1,1,-0.9,-0.45,1297,12970.0
1052,28782,"Fairfield Harbour, NC",2726,35.0763889,-76.96388890000001,4021.090909090901,690.9090909091002,6.0909090909,5.3636363636,14.6212727271736,1.08,2,-0.92,-0.306666667,1279,1184.2592592592591
1053,28657,"Fairfield, CA",133683,38.2494444,-122.0388889,114990.576923077,149.0384615385,193.88461538459998,3.4334615385,458.9954388512955,10.14,29,-18.86,-0.6286666670000001,43063,4246.844181459566
1054,28711,"Fairfield, IA",10320,41.0086111,-91.9625,2612.5,300.0,9.0,6.0,61.92,1.54,2,-0.46,-0.15333333300000002,3886,2523.3766233766232
1064,29035,"Fallon, NV",16241,39.47361110000001,-118.7763889,20514.8125,156.25,33.5,6.166875,100.156216875,1.1,1,0.1,0.05,6338,5761.818181818181
1066,29089,"Fargo, ND--MN",176676,46.8772222,-96.7894444,3533.3333333333007,266.6666666667,12.666666666700001,6.333333333300001,1118.947999994111,11.38,2,9.38,3.126666667,75579,6641.388400702987
1076,29359,"Fayette, AL",3408,33.6844444,-87.8308333,9364.75,1100.0,9.35,4.1,13.972799999999998,0.68,1,-0.32,-0.16,1285,1889.705882352941
1078,29494,"Fayetteville--Springdale--Rogers, AR--MO",295083,37.964253,-91.831833,1875.0,200.0,9.5,17.5,5163.9525,13.3,13,0.3,0.021428571,113098,8503.609022556391
1079,29440,"Fayetteville, NC",310282,35.0525,-78.87861109999999,5247.2222222222,555.5555555556,11.222222222200001,3.4444444444,1068.7491110973208,7.06,5,2.06,0.34333333299999996,116631,16519.971671388103
1081,29510,"Fearrington Village, NC",2642,35.80361110000001,-79.0905556,29750.0,300.0,100.5,7.0,18.494,2.3,2,0.3,0.1,1678,729.5652173913044
1090,29737,"Findlay, OH",48441,41.0441667,-83.65,1600.0,485.7142857143,4.0,4.1428571429000005,200.68414285921892,1.5,2,-0.5,-0.166666667,20145,13430.0
1096,29872,"Flint, MI",356218,43.0125,-83.6875,7500.0,400.0,19.0,5.0,1781.0900000000001,6.74,5,1.74,0.29,140783,20887.68545994065
1098,29953,"Florence, AL",77074,34.7997222,-87.6772222,1850.0,433.3333333333,4.6666666667,4.5,346.83299999999997,2.66,3,-0.34,-0.085,33584,12625.563909774435
1101,30034,"Florence, OR",10177,43.9827778,-124.0986111,600.0,200.0,3.0,4.0,40.708,1.4,2,-0.6,-0.2,5132,3665.714285714286
1102,30061,"Florence, SC",89557,34.1952778,-79.7627778,966.6666666666999,300.0,3.6666666667,1.3333333333,119.40933333034809,3.68,4,-0.32,-0.064,35816,9732.608695652174
1108,30223,"Fond du Lac, WI",54901,43.773055600000006,-88.4469444,153087.5,500.0,315.375,4.25,233.32925,2.62,3,-0.38,-0.095,23238,8869.46564885496
1111,30331,"Forest City, NC",26418,35.3338889,-81.86527779999999,3712.5,300.0,13.0,4.0,105.672,0.94,4,-3.06,-0.612,11105,11813.829787234043
1112,30358,"Forest Lake, MN",21816,45.2788889,-92.985,22930.0,200.0,114.6666666667,4.6666666667,101.8080000007272,0.6,2,-1.4,-0.46666666700000003,8330,13883.333333333334
1114,30385,"Forestville, CA",5144,38.47361110000001,-122.88916670000002,3712.3333333333003,466.6666666667,10.0,15.0,77.16,1.46,2,-0.54,-0.18,2143,1467.8082191780823
1119,30520,"Forsyth, MO",6836,36.685,-93.1197222,5100.0,1000.0,5.25,7.25,49.561,0.7,1,-0.3,-0.15,2572,3674.2857142857147
1120,30547,"Fort Atkinson, WI",21105,42.9288889,-88.83694440000002,2050.0,400.0,6.0,6.833333333300001,144.2174999992965,1.88,2,-0.12,-0.04,8395,4465.425531914894
1121,30574,"Fort Bragg, CA",10348,39.4458333,-123.8041667,3712.3333333333003,466.6666666667,10.0,15.0,155.22,0.82,1,-0.18,-0.09,4020,4902.439024390244
1123,30628,"Fort Collins, CO",264465,40.5852778,-105.0838889,800.0,400.0,2.0,6.0,1586.79,26.26,31,-4.74,-0.148125,106172,4043.107387661843
1125,30682,"Fort Dodge, IA",25122,42.4975,-94.1677778,500.0,200.0,3.0,5.0,125.61,0.72,1,-0.28,-0.14,10204,14172.222222222223
1126,30736,"Fort Irwin, CA",8845,37.3969444,-120.8488889,10606.25,500.0,23.5,5.0,44.225,2.22,3,-0.78,-0.195,2306,1038.7387387387387
1135,30898,"Fort Scott, KS",7895,37.8397222,-94.7080556,12175.0,766.6666666666998,16.5833333333,5.666666666699999,44.73833333359649,0.74,1,-0.26,-0.13,2987,4036.4864864864867
1136,30925,"Fort Smith, AR--OK",122947,33.1355556,-92.65,1828.0,600.0,3.0,8.0,983.576,2.32,2,0.32,0.10666666699999999,48240,20793.103448275862
1139,31060,"Fort Walton Beach--Navarre--Wright, FL",191917,30.455555600000004,-86.6383333,8852.222222222199,933.3333333333001,9.6666666667,4.5555555556,874.2885555640852,6.78,4,2.78,0.556,79362,11705.309734513274
1140,31087,"Fort Wayne, IN",313492,39.8877778,-84.9255556,1266.6666666667,433.3333333333,3.3333333333,3.8333333333,1201.7193333228838,7.14,5,2.14,0.35666666700000005,123250,17261.904761904763
1143,31150,"Four Corners, FL",35549,27.9158333,-82.72972220000003,12025.0,200.0,60.0,3.0,106.64699999999999,6.3,8,-1.7,-0.18888888899999998,14195,2253.1746031746034
1148,31249,"Frankfort, KY",35734,38.2008333,-84.8733333,2762.5,500.0,6.25,7.25,259.0715,2.02,2,0.02,0.006666666999999999,15674,7759.40594059406
1150,31450,"Franklin--Highland Lake, NJ",35436,41.1766667,-74.4569444,300105.0,156.25,494.375,9.6025,340.27419,1.4,1,0.4,0.2,13152,9394.285714285716
1154,31330,"Franklin, NH",9582,43.4441667,-71.6477778,2300.0,200.0,12.0,4.0,38.328,2.22,3,-0.78,-0.195,3832,1726.1261261261259
1157,31478,"Fraser, CO",2583,39.945,-105.8166667,800.0,400.0,2.0,6.0,15.498000000000001,0.7,1,-0.3,-0.15,828,1182.857142857143
1159,31519,"Frederick, MD",141576,39.4141667,-77.4108333,5187.0,560.0,9.2,10.2,1444.0751999999998,12.08,10,2.08,0.18909090899999997,53205,4404.387417218543
1162,31600,"Fredericksburg, VA",141238,38.30305560000001,-77.4608333,342597.875,156.25,556.5652173912999,11.014166666700001,1555.6188716713748,12.68,3,9.68,2.42,50246,3962.6182965299686
1168,31843,"Fresno, CA",654628,36.7477778,-119.7713889,32460.75,700.0,54.0,7.5,4909.71,18.04,10,8.04,0.7309090909999999,212810,11796.563192904658
1176,32113,"Gadsden, AL",64172,34.014166700000004,-86.0066667,5721.6363636364,854.5454545455,6.9090909091,6.2727272727,402.5334545437044,1.68,4,-2.32,-0.46399999999999997,25010,14886.904761904763
