Market Name,4 Week Rate,4 Week TRP,CPP,CPM,Latitude,Longitude
Warner Robins GA (CBSA),5066.6666666667,555.5555555556,9.8888888889,5.7777777778,32.613001,-83.624201
Warren PA (CBSA),4775,800,6,17.3333333333,41.843949,-79.145044
Warrensburg MO (CBSA),1500,425,4.125,7.375,38.762789,-93.73605
Warsaw IN (CBSA),1350,300,5,6.5,41.2381,-85.853047
Washington Court House OH Micro (CBSA),2231.8181818182,1036.3636363636,2.7272727273,10.0909090909,39.536451,-83.439084
Washington D.C.,342597.875,156.25,556.5652173913,11.0141666667,38.907192,-77.036871
Washington IN (CBSA),937.5,400,2.8333333333,8.3333333333,38.659215,-87.172789
Washington NC (CBSA),2712.75,750,3.625,8.625,35.546552,-77.052174
Waterloo-Cedar Falls IA  (CBSA),7754.1666666667,816.6666666667,10.0833333333,6.4166666667,48.198712,-122.125142
Watertown (DMA),3750,600,6,3,42.37093,-71.182832
Watertown SD (CBSA),950,350,3,9,44.899409,-97.115073
Watertown-Fort Atkinson WI (CBSA),2050,400,6,6.8333333333,42.928894,-88.837051
Watertown-Fort Drum NY (CBSA),500,400,1,1,44.055837,-75.759545
Wauchula FL (CBSA),1593,680,3,9.8,27.547259,-81.811471
Wausau WI (CBSA),5868.0769230769,1107.6923076923,5.3846153846,4.9230769231,44.959135,-89.630122
Wausau-Rhinelander (DMA),20160.3125,937.5,23.5625,6.4375,45.610836,-89.526737
Weirton-Steubenville WV-OH (CBSA),5320,880,6.8,6.2,40.417287,-82.907123
Wenatchee WA (CBSA),2668.75,825,3,3.375,47.42346,-120.310349
West Palm Beach,85259.25,156.25,140.375,8.7425,26.715342,-80.053375
West Palm Beach-Fort Pierce (DMA),21527,266.6666666667,82,5.3333333333,27.529312,-80.359057
West Plains MO (CBSA),840,560,2,4.2,36.728115,-91.852371
Wheeling WV-OH (CBSA),6000,1000,6.5,4.5,40.063962,-80.720915
Wheeling-Steubenville (DMA),11470,1100,11.75,3.9,40.317407,-80.603549
Whitewater WI (CBSA),2692,320,8.4,8.4,42.83362,-88.732327
Wichita,20320.6875,156.25,33.5,3.68875,37.688889,-97.336111
Wichita KS (CBSA),9540,300,32,7,37.688889,-97.336111
Wilkes Barre-Scranton (DMA),51600,766.6666666667,62.8333333333,4.8333333333,41.336246,-75.731149
Williamsport PA (CBSA),7083.3333333333,866.6666666667,8.8333333333,8,41.24119,-77.001079
Willmar MN (CBSA),1897,440,4.4,11,45.122371,-95.048659
Wilmington (DMA),7344,320,22.8,5.4,39.739072,-75.539788
Wilmington NC (CBSA),5200,300,18,8,34.225726,-77.94471
Wilson NC (CBSA),3913,750,5.375,7.625,35.721269,-77.91554
Winchester VA-WV (CBSA),2500,200,12.5,9,39.18566,-78.163334
Wisconsin Rapids-Marshfield WI Micro (CBSA),4675.625,950,5.125,8.125,44.383576,-89.817346
Worthington MN (CBSA),1003.75,250,4.5,18.75,43.621099,-95.594144
Yakima WA (CBSA),6083.3333333333,400,14.6666666667,7.8333333333,46.602071,-120.505899
Yakima-Pasco-Richland-Kennewick (DMA),7650,200,38.5,7,46.45679,-119.451483
Yankton SD (CBSA),1412.5,300,5,16,42.871109,-97.397281
York-Hanover PA (CBSA),16311.3846153846,446.1538461538,35.1538461538,9.0769230769,39.800655,-76.983036
Youngstown-Warren-Boardman OH-PA (CBSA),17915.3846153846,861.5384615385,24.1538461538,5.2307692308,41.079933,-80.66321
Yuma AZ (CBSA),6810,573.3333333333,13.3333333333,7.3333333333,32.692651,-114.627692
Yuma-El Centro (DMA),11150,492.3076923077,22.8461538462,7.7692307692,32.700749,-114.526076
Zanesville (DMA),4000,300,15.5,10.5,39.940345,-82.013192
Zanesville OH (CBSA),5000,466.6666666667,13.3333333333,10.3333333333,39.940345,-82.013192
